통합_식품명,1인당Cal,,,
가지볶음,21,,,
간장게장,155,,,
갈비구이,274.5,,,
갈비찜,476.3,,,
갈비탕,361.8,,,
갈치구이,276,,,
갈치조림,260,,,
감자전,266,,,이 파일을 리스트로 변환해서 나온 결과를 이 파일 1열의 데이터에서 찾아서 2열을 출력하고 싶어. 코드를 짜줄래?
감자조림,57,,,
감자채볶음,140.4,,,
감자탕,376.3,,,
갓김치,37,,,
건새우볶음,60.8,,,
경단,240,,,
고등어구이,241.4,,,
고등어조림,141,,,
고사리나물,20.4,,,
고추튀김,202,,,
곰탕_설렁탕,120,,,
곱창구이,276,,,
곱창전골,285,,,
김밥,322,,,
김치볶음밥,551.1,,,
김치전,201,,,
김치찌개,90,,,
김치찜,220.5,,,
깍두기,16.5,,,
깻잎장아찌,124,,,
꼬막찜,192,,,
꽁치조림,244,,,
꽈리고추무침,71.1,,,
꿀떡,228,,,
나박김치,10,,,
누룽지,522,,,
닭갈비,348.6,,,
닭볶음탕,333,,,
더덕구이,194.4,,,
도라지무침,65,,,
도토리묵,148,,,
동그랑땡,309,,,
동태찌개,88,,,
된장찌개,92,,,
두부김치,287.5,,,
두부조림,71.5,,,
땅콩조림,96.6,,,
떡갈비,404,,,
떡국_만두국,516,,,
떡볶이,259.2,,,
라면,451,,,
라볶이,268,,,
막국수,424.908,,,
만두,349.8,,,
매운탕,210,,,
멍게비빔밥,548,,,
메추리알장조림,203,,,
멸치볶음,138,,,
무국,22.4,,,
무생채,73.5,,,
물냉면,748.8,,,
물회,532,,,
미역국,48,,,
미역줄기볶음,61.6,,,
배추김치,38,,,
백김치,16,,,
부추김치,23.5,,,
북엇국,112,,,
불고기,306,,,
비빔냉면,540,,,
비빔밥,639,,,
삼겹살,934,,,
삼계탕,909,,,
새우볶음밥,636.4,,,
새우튀김,170.52,,,
생선전,268.5,,,
소세지볶음,560,,,
송편,219,,,
수육,486,,,
수제비,377,,,
숙주나물,17.5,,,
순대,411.4,,,
순두부찌개,177.6,,,
시금치나물,34.5,,,
시래기국,60,,,
식혜,130.5,,,
알밥,422.4,,,
애호박볶음,29.5,,,
약과,119.7,,,
약식,220,,,
양념게장,194,,,
어묵볶음,275.8,,,
연근조림,87,,,
열무국수,472,,,
열무김치,36,,,
오이소박이,37,,,
오징어채무침,206.4,,,
오징어튀김,81,,,
우엉조림,56.4,,,
유부초밥,388,,,
육개장,132,,,
육회,195,,,
잔치국수,488,,,
잡곡밥,292,,,
잡채,292,,,
장어구이,388.5,,,
장조림,69,,,
전복죽,316,,,
제육볶음,151,,,
조개구이,234,,,
조기구이,318.6,,,
족발,582.5,,,
주꾸미볶음,233.1,,,
주먹밥,392.85,,,
짜장면,918,,,
짬뽕,464,,,
쫄면,709.5,,,
찜닭,1365,,,
총각김치,42,,,
추어탕,189,,,
칼국수,539,,,
코다리조림,86,,,
콩국수,648,,,
콩나물국,24,,,
콩나물무침,34.5,,,
콩자반,84.3,,,
파김치,49,,,
파전,223.21,,,
피자,321.3,,,
해물찜,400,,,
호박전,196,,,
홍어무침,198,,,
황태구이,438,,,
회무침,205,,,
훈제오리,797.5,,,
후라이드치킨,287,,,
양념치킨,284,,,
젓갈,6,,,
닭계장,163.8,,,
고추장진미채볶음,120,,,
떡꼬치,498,,,
보쌈,1200,,,
산낙지,200,,,
계란국,300,,,
계란말이,150,,,
계란찜,250,,,
계란후라이,200,,,
과메기,400,,,
수정과,200,,,
편육,300,,,
한과,150,,,
